crop_id,crop_name
2,MAIZE
107,Pomegranate
117,BEETROOT
118,BHENDI
119,BITTERGOURD
120,BOTTLEGOURD
121,BRINJAL
125,CABBAGE
128,CAULIFLOWER
133,GREEN CHILLI
137,CLUSTER BEAN
140,CUCUMBER
142,COFFEE – Robusta
143,FRENCH BEAN (Bush Type)
146,LABLAB (Bush Type)
163,TOMATO
172,CORIANDER – Leaf
180,BLACK PEPPER
182,TURMERIC
189,COFFEE – Arabica
209,SUGARCANE - Early
227,FRENCH BEAN (Pole Type)
228,GROUNDNUT
229,LABLAB (Pole Type)
301,BANANA (G9)
302,BANANA (Nendran)
305,BANANA (Njalipoovan)
351,CABBAGE (BM1)
352,CAULIFLOWER (BM1)
353,BRINJAL (BM1)
354,GREEN CHILLI (BM1)
355,CUCUMBER (BM1)
356,RIDGE GOURD (BM1)
358,TOMATO (BM1)
359,BHENDI (BM1)
801,TOMATO HYBRID (RA)
802,AMARANTHUS GRN/RED (RA)
803,LADY FINGER (RA)
804,CLUSTER BEAN (RA)
805,BEETROOT (RA)
806,BITTERGOURD (RA)
807,BOTTLEGOURD (RA)
808,CORN SWEET (RA)
810,SPINACH (RA)
811,CABBAGE (RA)
812,CAULIFLOWER (RA)
813,BEANS - FRENCH (Pole Type) (RA)
815,CARROT - RED (RA)
816,CARROT - ORANGE (RA)
817,CHILLI - GREEN
818,ONION - RED (RA)
819,POTATO (RA)
820,BRINJAL (RA)
824,CORIANDER – Leaf (RA)
825,CUCUMBER HYBRID (RA)
826,SPRING ONION (RA)
827,MUSTARD LEAF (RA)
828,FENUGREEK (RA)
830,MUSKMELON (RA)
831,WATERMELON (RA)
832,BROCCOLI (RA)
833,KNOL KHOL (RA)
834,RADISH (Asiatic) (RA)
835,PUMPKIN - GREEN (RA)
841,TOMATO ROUND DESI (RA)
842,SPONGE GOURD (RA)
851,RIDGE GOURD (RA)
853,RADISH (Asiatic) (Del/Nwl/Pun-Win)
855,BEETROOT (Del/Nwl-Win)
856,CARROT - RED (Del/Nwl-Win)
857,FENUGREEK (Del/Nwl-Win)
858,CORIANDER – Leaf (Del/Nwl-Sum/Win)
859,SPINACH (Del/Nwl-Sum/Win)
860,CAULIFLOWER (Del/Nwl-Win)
861,POTATO (Del-Win)
863,CORN SWEET (Del/Nwl-Win)
865,BROCCOLI (Del/Nwl-Win)
866,CARROT - BLACK (Del/Nwl-Win)
867,MUSTARD LEAF (Del/Nwl-Win)
869,PEAS GREEN (Del/Nwl-Win)
870,CABBAGE (Del/Nwl-Win)
871,SPRING ONION (Del/Nwl-Sum/Win)
876,TOMATO ROUND DESI (Del/Nwl-Win)
878,TURNIP (European) (Nwl-Win)
879,KNOL KHOL (Del/Nwl-Win)
882,RED CABBAGE (Del/Nwl-Win)
886,CUCUMBER HYBRID (Del/Nwl - Sum)
888,WATERMELON  (Del/Nwl-Sum)
